text,sentiment
"I love this AI project!!! 😍🔥 #AI",positive
"This is the worst experience I have ever had. Terrible.",negative
"The sky is blue today.",neutral
"I am so happy and excited for the new release!",positive
"I absolutely hate the new design, it is awful.",negative
"Just eating my lunch right now.",neutral
"Machine learning is fascinating and wonderful.",positive
"I am very disappointed with the customer service.",negative
"A completely average day.",neutral
"I can't believe how amazing this product is! Highly recommend.",positive
"Do not buy this, it is a scam and a waste of money.",negative
"Going to the store to buy some groceries.",neutral
